name,lead_score,tier,status,notes,phone,address,website,rating,review_count,signal_tags,latitude,longitude,place_id,first_seen_at
Nails & Spa by Vanna,95,Hot,new,,,"1933 E Winchester Pl, Chandler, AZ 85286, USA",,,,no_reviews|no_website,33.2878874,-111.8094653,ChIJg6efGburK4cRarzvuQEPRIw,2026-04-26T10:16:58.024Z
BuchonaNailsAnahi,95,Hot,new,,,"6302 Broadway, Everett, WA 98203, USA",,,,no_reviews|no_website,47.9401746,-122.1998418,ChIJczIVV2wBkFQRW1YaLk7QoFE,2026-04-26T08:30:30.278Z
Seattle Hill Nails & Spa,95,Hot,new,,,"4809 132nd St SE b101, Everett, WA 98208, USA",,,,no_reviews|no_website,47.87847,-122.1667333,ChIJKe37XKwHkFQRBlT5ES1SwNY,2026-04-26T08:30:46.730Z
Jaime Le's Nails,95,Hot,new,,,"19720 Enslow Dr, Carson, CA 90746, USA",,,,no_reviews|no_website,33.8525458,-118.2575274,ChIJ-9_JUno13YARIy8DKdDrB8c,2026-04-26T07:26:49.615Z
Chris Super Nails,95,Hot,new,,,"11 Ramble Creek Dr, Cotati, CA 94931, USA",,,,no_reviews|no_website,38.3237728,-122.7060039,ChIJmU2Ukk1LhIAR0Mu5jed5k-w,2026-04-26T09:35:37.347Z
joseph Miracle Nails,95,Hot,new,,,"1045 3rd St, Novato, CA 94945, USA",,,,no_reviews|no_website,38.1099138,-122.5733087,ChIJEYTDehu7hYARwGiZHRvSV5o,2026-04-26T09:29:02.654Z
Khianas Nails,95,Hot,new,,,"Irvine, CA 92618, USA",,,,no_reviews|no_website,33.7002779,-117.7083173,ChIJ5eTvki3D3IARRQB5JNiyyA8,2026-04-26T07:11:52.500Z
Miry’s nail home,95,Hot,new,,,"3768 Monolith Tr, Perris, CA 92570, USA",,,,no_reviews|no_website,33.7369248,-117.2413524,ChIJw6w4WiKf3IARzGHYnIIxrqU,2026-04-26T08:04:06.554Z
Sky Nails & Spa,95,Hot,new,,,"39525 Los Alamos Rd Unit H, Murrieta, CA 92563, USA",,,,no_reviews|no_website,33.5757058,-117.1788119,ChIJq6m_PQCD3IARjaZ2gkGwaRU,2026-04-26T08:13:09.638Z
Solace Nail Studio,95,Hot,new,,,"2843 NW Kitsap Pl, Silverdale, WA 98383, USA",,,,no_reviews|no_website,47.6548331,-122.6879789,ChIJzZ4AXgA7kFQRz4HAmEtMEoM,2026-04-26T08:29:38.611Z
Raymond nails,95,Hot,new,,,"3355 Sonoma Blvd, Vallejo, CA 94590, USA",,,,no_reviews|no_website,38.1207316,-122.2571663,ChIJy1QzHqZzhYARn9BypL6x9dc,2026-04-26T09:28:41.275Z
Thomas Superb Nails,95,Hot,new,,,"1927 Visalia Ave, Richmond, CA 94801, USA",,,,no_reviews|no_website,37.9468793,-122.3505463,ChIJ6dQ5ds93hYARSl-ldKBZ-2E,2026-04-26T09:13:45.315Z
Amin nails,95,Hot,new,,,"16451 Multiview Dr, Perris, CA 92570, USA",,,,no_reviews|no_website,33.8171936,-117.3732775,ChIJw8OjPBK93IARgRf-JuGdYGE,2026-04-26T07:36:36.498Z
The nail room by perla,95,Hot,new,,,"P.º del Pedregal 718, Playas de Tijuana, Playas Coronado, 22500 Tijuana, B.C., Mexico",,,,no_reviews|no_website,32.5291026,-117.1127239,ChIJJTAXWQBL2YARB1GWbehZA9U,2026-04-26T09:03:04.354Z
Yasmín Gomez Nails,95,Hot,new,,,"Corona del Mar, 22544 Tijuana, B.C., Mexico",,,,no_reviews|no_website,32.497463,-117.1071382,ChIJKXRnJsVL2YAREmfmpkso3Uc,2026-04-26T09:03:05.625Z
Nail salon,95,Hot,new,,,"San Ramon, CA 94583, USA",,,,no_reviews|no_website,37.7643595,-121.9539616,ChIJj8LCUwDzj4ARxI6Ua82ZFxI,2026-04-26T09:35:23.613Z
Spa Time Nails,90,Hot,new,,(916) 448-2450,"Artisan salon, 3175 Riverside Blvd #3754, Sacramento, CA 95818, USA",,,,no_reviews|no_website,38.5502477,-121.5054095,ChIJEciaC9HRmoARnFNarCIxo3E,2026-04-26T11:16:33.619Z
WEST POINT NAILS AND BEAUTY PLUS SPA,90,Hot,new,,(951) 683-9798,"20188 W Point Dr, Riverside, CA 92507, USA",,,,no_reviews|no_website,33.9545818,-117.3104095,ChIJVcpnUAev3IARfvuji8Bp8Bw,2026-04-26T08:05:39.465Z
Forever Heaven Nails,90,Hot,new,,,"Fillmore, CA 93015, USA",,,,no_reviews|no_website,34.3991639,-118.918154,ChIJL-3BbwDN6YARPcYONhFpHfQ,2026-04-26T12:40:39.895Z
Nail Heaven,90,Hot,new,,(661) 679-7601,"113 Lincoln Ave, Bakersfield, CA 93308, USA",,,,no_reviews|no_website,35.41441,-119.0221982,ChIJsfvOJuBp6oARX2QAfsW0Y4U,2026-04-26T10:42:56.643Z
J & J's nails and boutique,90,Hot,new,,(661) 779-9875,"6218 Rogers St, Bakersfield, CA 93308, USA",,,,no_reviews|no_website,35.422798,-119.0719609,ChIJMxa0DYND6oAR0kIXU72Gqpg,2026-04-26T10:42:58.517Z
Devine Nailz Beauty Studio,90,Hot,new,,(805) 561-2993,"925 E Main St suite d, Santa Paula, CA 93060, USA",https://www.devinenailz.net/,,,no_reviews,34.3535866,-119.0621298,ChIJ9TbnfTq16YAReNcGJbG-Nsg,2026-04-26T13:28:58.956Z
Raging Nails,90,Hot,new,,(661) 227-5351,"47522 80th St W, Lancaster, CA 93536, USA",,,,no_reviews|no_website,34.746277,-118.2718092,ChIJr9YZgKZDwoARGX13bSmmTmo,2026-04-26T12:09:13.892Z
"Honest Rituals Ojai Spa, Massage, Facials, Nails",90,Hot,new,,(701) 203-3570,"910 E Ojai Ave, Ojai, CA 93023, USA",https://www.honestrituals.com/,,,no_reviews,34.4486617,-119.2368712,ChIJ4ZsLUiSl6YARNYrIMlNz2Xc,2026-04-26T13:29:17.492Z
Ruben Happy Nails,90,Hot,new,,,"424 2nd St, Kersey, CO 80644, USA",,,,no_reviews|no_website,40.3860782,-104.5629577,ChIJp1feUbKdbocRsgaAIWpqwT0,2026-04-26T15:33:41.585Z
Galactic Crystal Nails,90,Hot,new,,(951) 897-0005,"6165 Valley Springs Pkwy Suite A #101, Riverside, CA 92507, USA",,,,no_reviews|no_website,33.9408304,-117.2884388,ChIJe4Pufj2v3IAREApTVfesIUo,2026-04-26T08:05:40.734Z
Nails By Hope,90,Hot,new,,(760) 855-1870,"407 Potter St Suite A3, Fallbrook, CA 92028, USA",,,,no_reviews|no_website,33.3789242,-117.243223,ChIJ4-GOEbN_3IARs3bOMj-paWg,2026-04-26T13:30:47.169Z
Beautiful Nails,90,Hot,new,,(913) 260-1067,"410 N Quincy Ave, Kansas City, MO 64123, USA",http://beautifulnails60.booksy.com/,,,no_reviews|no_website,39.1166791,-94.5222055,ChIJLQEnyrz7wIcRkDcCcahGj94,2026-04-26T15:44:35.435Z
Lula’s Nail & Co.,90,Hot,new,,(720) 694-1849,"3330 E 1st Ave Ste# 7, Denver, CO 80206, USA",https://lulasnailandco.glossgenius.com/,,,no_reviews|glossgenius,39.7175907,-104.9479084,ChIJdR2kT6J_bIcRsxz77yqp3WY,2026-04-26T15:19:10.724Z
CALVIN'S NAILS & SPA,90,Hot,new,,,"Apple Valley, CA 92307, USA",,,,no_reviews|no_website,34.5370587,-117.2487517,ChIJ9Uk6S-tjw4ARQ5LCB6hbq-Y,2026-04-26T13:59:38.355Z
Nailed by Sammi,90,Hot,new,,(530) 521-1857,"601 D St, Marysville, CA 95901, USA",https://www.facebook.com/profile.php?id=61556149186453&mibextid=LQQJ4d,,,no_reviews,39.1417138,-121.5889149,ChIJ46pKX1JTm4ARNWTZfO8DDtg,2026-04-26T11:31:10.457Z
Eyebrows tattoo & nails salon,90,Hot,new,,(951) 220-1354,"591 N McKinley St #102, Corona, CA 92879, USA",,,,no_reviews|no_website,33.891723,-117.5182932,ChIJo3hjhTG33IAR6YjJcuppCK4,2026-04-26T12:52:43.751Z
Daisy Nails,90,Hot,new,,,"Mojave, CA 93501, USA",,,,no_reviews|no_website,35.0508996,-118.154256,ChIJxYXALgAlwoARHeyHcdLHo0o,2026-04-26T12:09:01.792Z
All Seasons Nails & Spa,90,Hot,new,,(909) 792-1666,"1615 W Redlands Blvd ste g, Redlands, CA 92373, USA",,,,no_reviews|no_website,34.0624107,-117.2095158,ChIJf9Qw25qr3IARJAINzGaQL2I,2026-04-26T13:09:40.054Z
Gel Polish Nails & Spa,90,Hot,new,,(716) 232-5812,"29881 Aventura D, Rancho Santa Margarita, CA 92688, USA",https://gelpolishnailsspa.wixsite.com/gel-polish-nails---s,,,no_reviews,33.6366505,-117.6089367,ChIJXc6lf0nr3IAR3rx7KwL375k,2026-04-26T12:31:43.115Z
BobadillaMariabutterflynails,90,Hot,new,,(661) 370-7514,"3475 Young Rd, Earlimart, CA 93219, USA",,,,no_reviews|no_website,35.8607569,-119.3912428,ChIJ3e9oEU7f6oARgwyO3lY1aWI,2026-04-26T13:25:24.737Z
Nails by Kristen,90,Hot,new,,(661) 972-4151,"21230 Madre St, Tehachapi, CA 93561, USA",,,,no_reviews|no_website,35.1270937,-118.4888027,ChIJ4Wp1n5P5wYARnOwjNHx9uSM,2026-04-26T12:27:53.670Z
Nails,90,Hot,new,,,"1918 13th St, Boulder, CO 80302, USA",,,,no_reviews|no_website,40.0175704,-105.2783209,ChIJw1bxKhXta4cRJ1neDMQV35c,2026-04-26T15:28:06.345Z
Be Q Nails,90,Hot,new,,,"12555 Mariposa Rd C, Victorville, CA 92395, USA",,,,no_reviews|no_website,34.4780999,-117.3389521,ChIJsw7FLchnw4ARgLg1I7RD8n0,2026-04-26T13:34:29.866Z
MP NAILS,90,Hot,new,,(951) 627-0564,"3549 Mission Ave, Oceanside, CA 92058, USA",,,,no_reviews|no_website,33.2226163,-117.3341714,ChIJNQsL9Kpx3IARY_LtFXliH98,2026-04-26T13:16:45.885Z
Fiberglass Nail Academy,90,Hot,new,,(415) 741-6410,"930 San Pablo Ave D, Pinole, CA 94564, USA",,,,no_reviews|no_website,38.0054459,-122.3058181,ChIJbfKUErnNj4ARuuxiilVoN8Q,2026-04-26T09:23:29.585Z
Nail Files by Karyn D.,90,Hot,new,,(661) 679-3160,"You are here, Bakersfield, CA 93305, USA",,,,no_reviews|no_website,35.3904658,-119.0027613,ChIJwbijVdtp6oARUZwy7gkhv1E,2026-04-26T10:45:17.272Z
Nails by Tammy,90,Hot,new,,(650) 366-2244,"2115 Broadway, Redwood City, CA 94063, USA",,,,no_reviews|no_website,37.48623250000001,-122.2286501,ChIJ__8vKq2jj4AR0b-8-IWisAs,2026-04-26T09:32:56.059Z
Smiley’s Nails,90,Hot,new,,,"Mobile, Bakersfield, CA 93312, USA",,,,no_reviews|no_website,35.3733918,-119.1273738,ChIJHwKNy3tD6oARdiAhI69BhWs,2026-04-26T11:16:12.213Z
MK's Nails,90,Hot,new,,(424) 312-7251,"1505 Hermosa Ave, Hermosa Beach, CA 90254, USA",,,,no_reviews|no_website,33.8646598,-118.4008951,ChIJZzx_G6izwoAR_ltU1Dk-Hn4,2026-04-26T07:54:47.819Z
Ocean's Nail Spa,90,Hot,new,,,"2333 East Coast Hwy Stuite G, Corona Del Mar, CA 92625, USA",https://oceansnailspa.wixsite.com/oceans,,,no_reviews,33.6045765,-117.8747513,ChIJ67KlIYvg3IARunBePUzWLr4,2026-04-26T12:31:00.290Z
Nails by Christy,90,Hot,new,,(816) 305-1095,"19114 S State Rte Y, Belton, MO 64012, USA",,,,no_reviews|no_website,38.7771495,-94.53324250000001,ChIJCTkBkVYed0ARCs3n4kPjtuU,2026-04-26T15:43:28.214Z
Top Russian nail art designer,90,Hot,new,,(415) 571-9796,"656 23rd St, Richmond, CA 94804, USA",,,,no_reviews|no_website,37.9418894,-122.3472876,ChIJFVRWskF5hYAR6tE949pIvIc,2026-04-26T09:13:44.044Z
Nails by Kelly,90,Hot,new,,(325) 262-8535,"640 E Deer Springs Way #130, North Las Vegas, NV 89086, USA",,,,no_reviews|no_website,36.2839165,-115.1333389,ChIJi80J5xLpyIARGQX8r_YP9oY,2026-04-26T10:26:56.494Z
Nails 4 U,90,Hot,new,,(949) 235-3755,"1309 Twinflower Ct, Fort Collins, CO 80521, USA",,,,no_reviews|no_website,40.5719983,-105.1385221,ChIJq6oWz5FJaYcRj-V6FQVx4Vk,2026-04-26T15:29:34.112Z
Nova Nails,90,Hot,new,,(562) 261-1660,"41911 5th St, Temecula, CA 92590, USA",https://www.novanails.co/,,,no_reviews,33.4957837,-117.149798,ChIJw7XtVYJ_24ARSmmZ-TxwVrE,2026-04-26T14:09:54.124Z
"Three Nails Hauling, LLC",90,Hot,new,,(720) 340-1275,"22990 Co Rd 30, Hudson, CO 80642, USA",,,,no_reviews|no_website,40.1894421,-104.6246099,ChIJuaxwslYjbIcRgQNEXh8vmiU,2026-04-26T15:32:46.919Z
yes nails babe,90,Hot,new,,(442) 655-7177,"830 E Vista Way, Vista, CA 92084, USA",,,,no_reviews|no_website,33.2106494,-117.2349184,ChIJE45B05933IARfc9__2ga-q8,2026-04-26T13:30:18.396Z
Agaveglow_Naillounge,90,Hot,new,,(760) 801-9259,"E Bobier Dr, Vista, CA 92084, USA",https://www.instagram.com/lenis_nail_box/,,,no_reviews,33.2205398,-117.2356831,ChIJ6fdTUcN33IAR_NdETtFUA1k,2026-04-26T13:30:18.394Z
Gabys Nail Bar,90,Hot,new,,,"977 S Santa Fe Ave, Vista, CA 92083, USA",,,,no_reviews|no_website,33.1922958,-117.2316477,ChIJjeAJFcl13IARnZlQK9X8deA,2026-04-26T13:30:18.392Z
Glamour nails,90,Hot,new,,,"304 Glencrest Dr, Solana Beach, CA 92075, USA",,,,no_reviews|no_website,32.9964183,-117.2630177,ChIJ95gYyssJ3IARSQ_qryPexqw,2026-04-26T13:36:42.813Z
LETS TALK NAILS,90,Hot,new,,,"1069 W Ave K, Lancaster, CA 93534, USA",,,,no_reviews|no_website,34.6751943,-118.1501655,ChIJfde093ZbwoARdFiwb2ORhQA,2026-04-26T12:07:34.622Z
H&V Nails Spa,90,Hot,new,,(760) 576-9247,"4161 Oceanside Blvd 101 suite 22, Oceanside, CA 92056, USA",,,,no_reviews|no_website,33.2059244,-117.286257,ChIJ2zruK2Rx3IARxOl4JoLJZI0,2026-04-26T13:30:18.390Z
Nails by Sarah,90,Hot,new,,,"26615 Bouquet Canyon Rd Suite 8, Santa Clarita, CA 91350, USA",http://nailsbysarahp.glossgenius.com/,,,no_reviews|glossgenius,34.4286842,-118.5371172,ChIJK9YjmaaHwoARb_8kHJK8IWM,2026-04-26T12:19:12.382Z
Nails by Jen,90,Hot,new,,(844) 335-8253,"597 W Channel Islands Blvd, Port Hueneme, CA 93041, USA",http://www.nailsbyjen805.com/,,,no_reviews,34.17717330000001,-119.2154486,ChIJ32LXTVNN6IARH9qwGdjETVo,2026-04-26T13:54:56.682Z
Nautual Nails by Rene’e,90,Hot,new,,(760) 212-4856,"254 N Cedros Ave, Solana Beach, CA 92075, USA",,,,no_reviews|no_website,32.9951387,-117.2709517,ChIJyXXsZzQP3IARvLufe1xl2vw,2026-04-26T13:36:42.811Z
2Q nail bar,90,Hot,new,,,"Stater bros, Norco, CA 92860, USA",,,,no_reviews|no_website,33.9225537,-117.5601503,ChIJfTp1WgDJ3IARDY_gL1O8x2I,2026-04-26T12:55:39.362Z
Nails by Terri,90,Hot,new,,(510) 282-1131,"3550 Blackhawk Plaza Cir, Danville, CA 94506, USA",,,,no_reviews|no_website,37.8000614,-121.9203106,ChIJ7Xztb4Xzj4ARUyukvi0wiVM,2026-04-26T09:35:19.808Z
Nails by Sam,90,Hot,new,,(760) 299-5967,"131 Lakeview Terrace, Wofford Heights, CA 93285, USA",https://www.facebook.com/profile.php?id=61587902897013&mibextid=ZbWKwL,,,no_reviews,35.7126619,-118.4710949,ChIJRV9ZpTHNwYARyX5u1IbG1Mw,2026-04-26T12:38:02.685Z
Sugas Hair & Nails,90,Hot,new,,(951) 261-2502,"176 N Alessandro St Unit 818, Banning, CA 92220, USA",,,,no_reviews|no_website,33.9270012,-116.8741517,ChIJecmXFlRB24ARGFKa2yAJe-8,2026-04-26T13:59:46.012Z
NailzzbyJessica,90,Hot,new,,(925) 997-7960,"3211 Crow Canyon Pl Unit J12, San Ramon, CA 94583, USA",,,,no_reviews|no_website,37.7762059,-121.971855,ChIJ4zQRTC_zj4ARIcbeOkQIEcE,2026-04-26T09:35:17.255Z
Naild It By DaShh,90,Hot,new,,(760) 981-7335,"13901 Nettle St, Hesperia, CA 92344, USA",https://naild-it-by-dashh.square.site/,,,no_reviews|square,34.4132601,-117.360661,ChIJUQnBB7pnw4AR19sR_v-V_fE,2026-04-26T13:58:25.429Z
American Nails & Spa,90,Hot,new,,(530) 898-9160,"2061 Dr Martin Luther King Jr Pkwy #162, Chico, CA 95928, USA",https://sites.google.com/view/americannailsspa/trang-ch%E1%BB%A7,,,no_reviews,39.7233361,-121.8086472,ChIJqZG4R4Iog4ARImZlyLu2aBU,2026-04-26T11:42:46.672Z
Fancy That Lash & Nail Salon,90,Hot,new,,,"9116 W Bowles Ave, Littleton, CO 80123, USA",,,,no_reviews|no_website,39.6090001,-105.1010437,ChIJs6-q8hh_a4cR3RrLBm6N3MU,2026-04-26T15:15:57.618Z
Baddie Nails,90,Hot,new,,(559) 509-7511,"2375 E Tulare Ave, Tulare, CA 93274, USA",,,,no_reviews|no_website,36.2106252,-119.3111487,ChIJH99dMwwtlYAR1mnaZ8PmF18,2026-04-26T13:05:07.612Z
Nails by Michelle's Beauty Bar,90,Hot,new,,(559) 257-7730,"2535 Jensen Ave, Sanger, CA 93657, USA",http://nailsbymichellesbb.as.me/,,,no_reviews,36.7066059,-119.5731879,ChIJHTPerBH5lIARRlrNqBan22w,2026-04-26T14:29:30.808Z
Just For Nails,90,Hot,new,,(970) 619-8947,"2293 W Eisenhower Blvd, Loveland, CO 80537, USA",http://www.justfornailsllc.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9954834740992515894,,,no_reviews,40.4074788,-105.1086153,ChIJ6S8GjTNSaYcR7HY4gWubrvY,2026-04-26T15:35:13.235Z
Lumiere Nails,90,Hot,new,,(951) 902-0790,"16184 Foothill Blvd Ste E, Fontana, CA 92335, USA",,,,no_reviews|no_website,34.1077331,-117.4522958,ChIJY1L6JSZNw4ARFWf8IgBnS0k,2026-04-26T13:10:52.698Z
La Bamba Nails,90,Hot,new,,(323) 585-3159,"7848 Pacific Blvd c3, Walnut Park, CA 90255, USA",,,,no_reviews|no_website,33.966952,-118.2248299,ChIJQ5CNHkHJwoARMV1pW7SJID8,2026-04-26T11:53:12.275Z
Bonsall Nails & Spa (Soft Opening: 10% - 20% OFF),90,Hot,new,,(760) 678-0078,"5523 Mission Rd B, Bonsall, CA 92003, USA",https://www.nailsalonscoupons.com/post/10-20-off-instore-instant-discount-raffle-bonsall-nails-spa,,,no_reviews,33.290659,-117.2260436,ChIJ9QJQ1bl53IAR1Supjd8edyI,2026-04-26T13:08:44.561Z
Golden Lotus Nail Lounge,90,Hot,new,,(650) 388-2229,"1181 El Camino Real, Menlo Park, CA 94025, USA",,,,no_reviews|no_website,37.4539311,-122.1842112,ChIJL2oEKAOlj4ARE53A5PW01Ow,2026-04-26T09:44:57.579Z
nailsbylivi,90,Hot,new,,(559) 798-6910,"707 S Amber St, Tulare, CA 93274, USA",http://nailsbylivi.square.site/,,,no_reviews|square,36.2016856,-119.3174707,ChIJ-apk5dAtlYARJMnFAr3hwn8,2026-04-26T13:05:07.611Z
Candice's Nails,90,Hot,new,,(559) 972-1352,"2375 E Tulare Ave suite 112, Tulare, CA 93274, USA",https://candicebenavides.glossgenius.com/,,,no_reviews|glossgenius,36.2106249,-119.3111487,ChIJqftdeCotlYARyOvNDDxbXzE,2026-04-26T13:05:07.609Z
Cheeky.Nailss LLC,90,Hot,new,,(303) 547-4347,"101 E Main St, Windsor, CO 80550, USA",,,,no_reviews|no_website,40.4795269,-104.8946985,ChIJnddDdTGxbocROG11-2VZrps,2026-04-26T15:33:21.250Z
Salón Inventos Nails Jessica,90,Hot,new,,664 136 8727,"Rubén Amaya 1212, Lazaro Cardenas, 22510 Tijuana, B.C., Mexico",,,,no_reviews|no_website,32.5261842,-117.1020175,ChIJg1YxgTcl-xQRLA6S378JFZM,2026-04-26T09:03:00.498Z
Spring Nails,90,Hot,new,,(816) 220-5577,"1209 SW State Rte 7, Blue Springs, MO 64014, USA",,,,no_reviews|no_website,39.0048583,-94.27565609999999,ChIJ2WUVjtEbwYcRxQBsMF-uBgc,2026-04-26T15:48:31.398Z
Nails By Rosy,90,Hot,new,,,"636 O St, Sanger, CA 93657, USA",https://nailsbyrosy.glossgenius.com/?fbclid=PAAaaitUA48b_fI61kX_BVPbet7Zlt0nbzRBa2kdKPPMM_usxuijzBwwHU2Mo_aem_AdL2nUeKKfSZL6RYYCDqU3-bIEecMU_ilqlmO_gINyT2c0-T-3L9p2oscj_eZu1RSdU,,,no_reviews|glossgenius,36.7065448,-119.5585881,ChIJ7Qc-Gbf5lIARaS55G-WMeOI,2026-04-26T14:29:30.806Z
Nailed By Zandrea,90,Hot,new,,(559) 355-9339,"1703 Fulton St, Fresno, CA 93721, USA",https://nailedbyzandrea.booksy.com/,,,no_reviews|booksy,36.7409084,-119.7980586,ChIJIU3L14thlIARcmOL_LQyt_E,2026-04-26T14:33:06.908Z
Bloom nails tj,90,Hot,new,,664 348 0556,"C. 18 de Marzo 1471, Los Laureles, 22510 Tijuana, B.C., Mexico",,,,no_reviews|no_website,32.5261947,-117.0931746,ChIJvWH0WZVL2YARwYSd9obI9ZY,2026-04-26T09:02:56.652Z
URBAN NAIL STUDIO,90,Hot,new,,(303) 915-3579,"Sola Salon Suites, 7301 S Santa Fe Dr #18, Littleton, CO 80120, USA",,,,no_reviews|no_website,39.5863454,-105.0237346,ChIJxzSx_uKBbIcR4Le6PiNHTnM,2026-04-26T15:15:33.851Z
Melody’s Creative Nail Designs,90,Hot,new,,(661) 936-5377,"22710 8th St, Santa Clarita, CA 91321, USA",https://melodyscreativenaildesigns.booksy.com/,,,no_reviews|booksy,34.3789142,-118.5297554,ChIJMY_g2CaHwoAR9vaKiM03-XM,2026-04-26T12:11:31.527Z
Nailzxstudio,90,Hot,new,,(415) 707-4959,"Olive Ave, Novato, CA 94945, USA",,,,no_reviews|no_website,38.1093607,-122.5563215,ChIJobFe-MO9hYAR_36iN90Q-e8,2026-04-26T09:28:57.518Z
GLAM NAILS,90,Hot,new,,664 311 9463,"22510, Lazaro Cardenas, 22510 Tijuana, B.C., Mexico",,,,no_reviews|no_website,32.5137189,-117.0974379,ChIJ6TZaCjRL2YARDV0lbyHSsIU,2026-04-26T09:02:51.169Z
The Nailiste,90,Hot,new,,,"Lowell Ave, Tujunga, CA 91042, USA",,,,no_reviews|no_website,34.2428131,-118.2662655,ChIJvR2qOtnrwoAR9Fg-N4SPp4U,2026-04-26T12:00:53.315Z
Lily Dreamy Nail Spa,90,Hot,new,,(650) 948-2429,"350 State St #1, Los Altos, CA 94022, USA",,,,no_reviews|no_website,37.3789966,-122.1179815,ChIJlwahAcWxj4ARJFscWkg3Bgc,2026-04-26T09:43:59.935Z
Elegant Nails and Spa,90,Hot,new,,,"22307 El Paseo Rd Ste A, Riverside",,,,no_reviews|no_website,33.9136447,-117.3114149,ChIJkQ3bSyOl3IARoIvWlKnOGRQ,2026-04-26T12:41:29.755Z
Soakless Nail Studio,90,Hot,new,,(970) 402-1550,"3491 E Harmony Rd Suite 120 Studio 122, Fort Collins, CO 80528, USA",https://soakless.com/,,,no_reviews,40.52291350000001,-105.0134517,ChIJq6q6QodMaYcR2FNSvjSArak,2026-04-26T15:24:30.662Z
Nails by Lizz,90,Hot,new,,(951) 712-2842,"45715 Clubhouse Dr, Temecula, CA 92592, USA",,,,no_reviews|no_website,33.4672541,-117.1236405,ChIJ-0LU0FKB24ARgGITqaOGPrU,2026-04-26T13:58:03.629Z
Archie Gunmee Nail Spa,90,Hot,new,,,"420 Broadway Ave, Maricopa, CA 93252, USA",,,,no_reviews|no_website,35.0609698,-119.4044968,ChIJWSDbMDMz6oARnatcgS_UKtw,2026-04-26T14:25:45.662Z
Nova Nails,90,Hot,new,,(720) 610-0845,"1035 N Ellis Pl, Porterville, CA 93257, USA",,,,no_reviews|no_website,36.0845658,-119.0462981,ChIJx14kK-HH6oARwd1AGW1fNRA,2026-04-26T12:50:27.381Z
Stephen New Nails,90,Hot,new,,,"1629 Kiowa Crest Dr, Diamond Bar, CA 91765, USA",,,,no_reviews|no_website,33.9910005,-117.828679,ChIJWRsyOaAtw4ARbBuDosr0gbs,2026-04-26T12:25:19.379Z
Nikki's Nail Bar,90,Hot,new,,(909) 436-0646,"635 N Main St, Porterville, CA 93257, USA",,,,no_reviews|no_website,36.0767384,-119.0185318,ChIJ17hp9va56oAR8goMntgkDV4,2026-04-26T12:50:27.379Z
Luxbeautynailss,90,Hot,new,,(559) 361-3452,"166 N Main St, Porterville, CA 93257, USA",https://www.instagram.com/luxbeautynailss?igsh=NGVhN2U2NjQ0Yg==,,,no_reviews,36.0683449,-119.0158846,ChIJzVWLxdW56oARudeSxOM4rC0,2026-04-26T12:50:27.377Z
